oIWsFt1xFZw0R1q1FRdQW2H6uhg8	248	0.0096	25833
oIWsFt2k0wE0CdQhhOferDVlysjc	442	0.0047	94042
oIWsFt72NJ26Bsj3tgrXrsbOCbnI	786	0.0029	271034
oIWsFtxWRAz4a88iVxdpzTzL_aWA	200	0.002	100000
oIWsFt8A4h6S8WQbQaSDDGkkj_OA	217	0.0096	22604
oIWsFt4Qq2xa3B8Z65MuHFLPLFPA	240	0.0205	11707
oIWsFt5XQaXfd-3EqY4GZexo-5wA	347	0.0048	72291
oIWsFt0J-SMmZZgUPXrnMaOTkYOU	56	0.0057	9824
oIWsFtzbVBkxfzCsJFLlDe9ceaiw	643	0.0192	33489
oIWsFt6Qttm70710zkR3m7Dsq2h8	1184	0.0125	94720
oIWsFt0elMB9xFGXy758jNOqEgtE	115	0.0089	12921
oIWsFt7tKJFMZzCUZGXEFHKfPkrw	1314	0.0132	99545
oIWsFtw-yeQnkOARuLNHolUgReMY	51	0.0066	7727
oIWsFt8uLzfPNFeOqMAHQVh-v-bg	3164	0.0032	988750
oIWsFt2_DAR_mH1w2EsMzTtekD7M	130	0.008	16250
oIWsFtxdZuRsWYGpoVVY7uUyFA5c	125	0.0019	65789
oIWsFt9a9M3Yjln2EDt9lfrmdivQ	119	0.0017	70000
